flight_key,direction,sched_utc,first_seen_utc,tail_seen_utc,hours_before,seen_without_tail_first
SWA3828,Departure,2026-09-21T17:45:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,-0.22,False
AAL4074,Departure,2026-09-21T17:45:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,-0.22,False
SWA3346,Departure,2026-09-21T17:53:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,-0.09,False
SWA1007,Departure,2026-09-21T17:55:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,-0.06,False
UAL2779,Departure,2026-09-21T17:59:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.01,False
FDY457,Departure,2026-09-21T18:00:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.03,False
UAL4454,Departure,2026-09-21T18:00:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.03,False
DAL4922,Departure,2026-09-21T18:01:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.04,False
SWA2999,Departure,2026-09-21T18:10:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.19,False
EJA965,Departure,2026-09-21T18:30:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.53,False
UAL1380,Departure,2026-09-21T18:36:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.63,False
AAL6355,Departure,2026-09-21T18:49:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,0.84,False
EJA782,Departure,2026-09-21T19:00:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.03,False
SWA2336,Departure,2026-09-21T19:07:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.14,False
AAL477,Departure,2026-09-21T19:11:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.21,False
SWA1293,Departure,2026-09-21T19:15:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.28,False
SWA3862,Departure,2026-09-21T19:20:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.36,False
SWA2530,Departure,2026-09-21T19:20:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.36,False
SWA3846,Departure,2026-09-21T19:21:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.38,False
SWA3857,Departure,2026-09-21T19:25:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,1.44,False
SWA122,Departure,2026-09-21T20:06:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.13,False
SWA3799,Departure,2026-09-21T20:27:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.48,False
SWA3521,Departure,2026-09-21T20:29:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.51,False
DLH449,Departure,2026-09-21T20:30:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.53,False
UAL4500,Departure,2026-09-21T20:32:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.56,False
SWA388,Departure,2026-09-21T20:35:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.61,False
SWA4080,Departure,2026-09-21T20:45:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.78,False
SWA3808,Departure,2026-09-21T20:45:00+00:00,2026-09-21T17:58:20+00:00,2026-09-21T17:58:20+00:00,2.78,False
